neuron,channel
AS9,UNC-8
AS9,UNC-36
AS9,n/a
ASEL,DEL-4
ASEL,EGL-2
ASEL,KVS-1
ASEL,MGL-3
ASEL,OSM-9
ASEL,SLO-2
ASEL,TAX-2
ASEL,TAX-4
ASEL,UNC-36
ASER,DEL-4
ASER,EGL-2
ASER,KVS-1
ASER,MGL-3
ASER,OSM-9
ASER,SLO-2
ASER,TAX-2
ASER,TAX-4
ASER,TRP-2
ASER,UNC-36
ASGL,KVS-1
ASGL,OSM-9
ASGL,TAX-2
ASGL,TAX-4
ASGR,KVS-1
ASGR,OSM-9
ASGR,TAX-2
ASGR,TAX-4
ASHL,DEG-1
ASHL,KQT-3
ASHL,KVS-1
ASHL,OCR-2
ASHL,OSM-9
ASHL,UNC-8
ASHR,DEG-1
ASHR,KQT-3
ASHR,KVS-1
ASHR,OCR-2
ASHR,OSM-9
ASHR,UNC-8
ASIL,CNG-3
ASIL,KQT-3
ASIL,OSM-9
ASIL,TAX-2
ASIL,TAX-4
ASIL,TRP-1
ASIR,CNG-3
ASIR,KQT-3
ASIR,OSM-9
ASIR,TAX-2
ASIR,TAX-4
ASJL,OSM-9
ASJL,TAX-2
ASJL,TAX-4
ASJR,OSM-9
ASJR,TAX-2
ASJR,TAX-4
ASKL,KVS-1
ASKL,OSM-9
ASKL,TAX-2
ASKL,TAX-4
ASKL,UNC-36
ASKR,KVS-1
ASKR,OSM-9
ASKR,TAX-2
ASKR,TAX-4
ASKR,UNC-36
AVAL,GLR-1
AVAL,GLR-2
AVAL,NMR-1
AVAL,UNC-8
AVAL,UNC-36
AVAR,GLR-1
AVAR,GLR-2
AVAR,NMR-1
AVAR,UNC-8
AVAR,UNC-36
AVBL,GLR-1
AVBL,LGC-55
AVBL,UNC-8
AVBR,GLR-1
AVBR,LGC-55
AVBR,UNC-8
AVDL,DEG-1
AVDL,GLR-1
AVDL,GLR-2
AVDL,NMR-1
AVDL,UNC-8
AVDR,DEG-1
AVDR,GLR-1
AVDR,GLR-2
AVDR,NMR-1
AVDR,UNC-8
AVEL,GLR-1
AVEL,GLR-2
AVEL,NMR-1
AVER,GLR-1
AVER,GLR-2
AVER,NMR-1
AVER,n/a
AVG,DEG-1
AVG,GLR-1
AVG,GLR-2
AVG,NMR-1
AVHL,GGR-1
AVHR,GGR-1
AVJL,GLR-1
AVJR,GLR-1
AVL,EGL-36
AVL,SUP-9
AVM,LGC-55
AVM,MEC-10
AVM,UNC-36
AWAL,OCR-2
AWAL,OSM-9
AWAR,OCR-2
AWAR,OSM-9
AWBL,CNG-3
AWBL,KQT-3
AWBL,TAX-2
AWBR,CNG-3
AWBR,KQT-3
AWBR,TAX-2
AWCL,CNG-3
AWCL,EGL-2
AWCL,KVS-1
AWCL,MGL-3
AWCL,OSM-9
AWCL,TAX-2
AWCL,TAX-4
AWCR,CNG-3
AWCR,EGL-2
AWCR,KVS-1
AWCR,MGL-3
AWCR,OSM-9
AWCR,TAX-2
AWCR,TAX-4
BAGL,EGL-2
BAGL,MGL-3
BAGL,TAX-2
BAGL,TAX-4
BAGL,TRP-1
BAGR,EGL-2
BAGR,MGL-3
BAGR,TAX-2
BAGR,TAX-4
BAGR,TRP-1
BDUL,UNC-36
BDUR,UNC-36
CANL,EGL-2
CANL,GLR-1
CANL,GLR-2
CANL,KQT-1
CANL,KQT-3
CANL,KVS-1
CANL,SLO-2
CANL,n/a
CANR,EGL-2
CANR,GLR-1
CANR,GLR-2
CANR,KQT-1
CANR,KQT-3
CANR,KVS-1
CANR,SLO-2
CANR,n/a
DA1,ACC-4
DA1,LGC-46
DA1,TRP-1
DA1,UNC-8
DA2,ACC-4
DA2,LGC-46
DA2,TRP-1
DA2,UNC-8
DA3,ACC-4
DA3,LGC-46
DA3,TRP-1
DA3,UNC-8
DA4,ACC-4
DA4,LGC-46
DA4,TRP-1
DA4,UNC-8
DA5,ACC-4
DA5,LGC-46
DA5,TRP-1
DA5,UNC-8
DA6,ACC-4
DA6,LGC-46
DA6,TRP-1
DA6,UNC-8
DA7,ACC-4
DA7,LGC-46
DA7,TRP-1
DA7,UNC-8
DA8,ACC-4
DA8,LGC-46
DA8,TRP-1
DA8,UNC-8
DA9,ACC-4
DA9,AVR-15
DA9,LGC-46
DA9,TRP-1
DA9,UNC-8
DB1,ACC-4
DB1,LGC-46
DB1,TRP-1
DB1,UNC-8
DB2,ACC-4
DB2,LGC-46
DB2,TRP-1
DB2,UNC-8
DB3,ACC-4
DB3,LGC-46
DB3,TRP-1
DB3,UNC-8
DB4,ACC-4
DB4,LGC-46
DB4,TRP-1
DB4,UNC-8
DB5,ACC-4
DB5,LGC-46
DB5,TRP-1
DB5,UNC-8
DB6,ACC-4
DB6,LGC-46
DB6,TRP-1
DB6,UNC-8
DB7,ACC-4
DB7,LGC-46
DB7,TRP-1
DB7,UNC-8
DD1,LGC-46
DD1,UNC-8
DD2,LGC-46
DD2,UNC-8
DD3,LGC-46
DD3,UNC-8
DD4,LGC-46
DD4,UNC-8
DD5,LGC-46
DD5,UNC-8
DD6,LGC-46
DD6,UNC-8
DVA,GLR-2
DVA,UNC-36
DVB,EGL-36
DVC,GLR-1
DVC,UNC-36
FLPL,DEL-1
FLPL,MEC-10
FLPL,OSM-9
FLPL,UNC-8
FLPR,DEL-1
FLPR,MEC-10
FLPR,OSM-9
FLPR,UNC-8
HSNL,CLH-3
HSNL,CLH-4
HSNL,LGC-55
HSNR,CLH-3
HSNR,CLH-4
HSNR,LGC-55
I6,EGL-36
IL1DL,DEG-1
IL1DL,LGC-55
IL1DR,DEG-1
IL1DR,LGC-55
IL1L,DEG-1
IL1R,DEG-1
IL1VL,DEG-1
IL1VL,LGC-55
IL1VR,DEG-1
IL1VR,LGC-55
IL2DL,EGL-2
IL2DL,OSM-9
IL2DR,EGL-2
IL2DR,OSM-9
IL2L,EGL-2
IL2L,OSM-9
IL2R,EGL-2
IL2R,OSM-9
IL2VL,EGL-2
IL2VL,OSM-9
IL2VR,EGL-2
IL2VR,OSM-9
