Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
ADFR;ASHR;6;chemical;Serotonin;SER-3, SER-5
ADFR;AWAR;1;chemical;Serotonin;
ADFR;AWBR;4;chemical;Serotonin;SER-5, SER-6
ADFR;AWCR;1;chemical;Serotonin;
ADFR;AFDR;1;chemical;Serotonin;
ADFR;OLQVR;1;chemical;Serotonin;
ADFR;BAGL;6;chemical;Serotonin;
ADFR;URXR;10;chemical;Serotonin;
ADFR;URYVR;2;chemical;Serotonin;SER-1
ADFR;AUAR;9;chemical;Serotonin;SER-2
ADFR;AIYR;2;chemical;Serotonin;MOD-1, SER-2
ADFR;AIZR;37;chemical;Serotonin;MOD-1, SER-2
ADFR;RIAR;61;chemical;Serotonin;SER-1, SER-2
ADFR;RIGR;24;chemical;Serotonin;
ADFR;AVHL;1;chemical;Serotonin;SER-2
ADFR;PVPR;1;chemical;Serotonin;
ADFR;SMBDR;2;chemical;Serotonin;
ASEL;ADFR;1;chemical;Glutamate;MGL-3
ASEL;ASER;2;chemical;Glutamate;MGL-3
ASEL;ASJL;1;chemical;Glutamate;
ASEL;AWBL;1;chemical;Glutamate;
ASEL;AWCL;16;chemical;Glutamate;
ASEL;AWCR;11;chemical;Glutamate;
ASEL;AFDR;3;chemical;Glutamate;
ASEL;IL2R;1;chemical;Glutamate;
ASEL;OLLR;1;chemical;Glutamate;
ASEL;AIAL;6;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASEL;AIBL;16;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASEL;AIBR;13;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASEL;AIYL;32;chemical;Glutamate;GLC-3, MGL-1
ASEL;AIYR;21;chemical;Glutamate;GLC-3, MGL-1
ASEL;AIZL;1;chemical;Glutamate;
ASEL;RIAR;2;chemical;Glutamate;
ASER;ADLL;4;chemical;Glutamate;
ASER;ADLR;1;chemical;Glutamate;
ASER;ASEL;3;chemical;Glutamate;MGL-3
ASER;ASHR;2;chemical;Glutamate;
ASER;ASKL;1;chemical;Glutamate;
ASER;AWAR;1;chemical;Glutamate;
ASER;AWCL;1;chemical;Glutamate;
ASER;AWCR;1;chemical;Glutamate;
ASER;AFDL;2;chemical;Glutamate;
ASER;AFDR;3;chemical;Glutamate;
ASER;AIAL;8;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASER;AIAR;4;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASER;AIBL;4;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASER;AIBR;32;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASER;AIYL;9;chemical;Glutamate;GLC-3, MGL-1
ASER;AIYR;38;chemical;Glutamate;GLC-3, MGL-1
ASER;AIZL;1;chemical;Glutamate;
ASGL;ASKL;2;chemical;Glutamate, Serotonin;
ASGL;AIAL;46;chemical;Glutamate, Serotonin;GLC-3, GLR-2, MGL-1, MOD-1
ASGL;AIBL;17;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, MGL-2, MOD-1, SER-4
ASGR;ASER;3;chemical;Glutamate, Serotonin;MGL-3
ASGR;AIAR;51;chemical;Glutamate, Serotonin;GLC-3, GLR-2, MGL-1, MOD-1
ASGR;AIBR;20;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, MGL-2, MOD-1, SER-1, SER-4
ASGR;AIYR;1;chemical;Glutamate, Serotonin;GLC-3, MGL-1, MOD-1, SER-2
ASGR;RIFR;14;chemical;Glutamate, Serotonin;
ASHL;ADFL;6;chemical;Glutamate;MGL-3
ASHL;ADLL;6;chemical;Glutamate;
ASHL;ASKL;1;chemical;Glutamate;
ASHL;URXL;2;chemical;Glutamate;
ASHL;AIAL;24;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASHL;AIBL;13;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASHL;AIZL;3;chemical;Glutamate;
ASHL;RIAL;9;chemical;Glutamate;
ASHL;AVFL;2;chemical;Glutamate;
ASHL;AVHR;2;chemical;Glutamate;GLR-4
ASHL;AVAL;15;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
ASHL;AVAR;1;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
ASHL;AVBL;14;chemical;Glutamate;GLR-1, GLR-5
ASHL;AVDL;7;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ASHL;AVDR;20;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ASHL;RIML;4;chemical;Glutamate;
ASHL;HSNL;2;chemical;Glutamate;GLR-5
ASHR;ADFR;3;chemical;Glutamate;MGL-3
ASHR;ADLR;13;chemical;Glutamate;
ASHR;ASHR;2;chemical;Glutamate;
ASHR;AWAR;1;chemical;Glutamate;
ASHR;AWBL;1;chemical;Glutamate;
ASHR;AIAR;28;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASHR;AIBR;7;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASHR;RIAR;3;chemical;Glutamate;
ASHR;RMGR;6;chemical;Glutamate;
ASHR;AVHL;1;chemical;Glutamate;GLR-4
ASHR;PVPR;1;chemical;Glutamate;
ASHR;PVCL;3;chemical;Glutamate;
ASHR;AVAR;10;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
ASHR;AVBR;6;chemical;Glutamate;GLR-1, GLR-5
ASHR;AVDL;27;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ASHR;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ASHR;AVER;7;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ASHR;HSNL;4;chemical;Glutamate;GLR-5
ASHR;HSNR;5;chemical;Glutamate;GLR-5
ASKL;ASER;4;chemical;Glutamate;MGL-3
ASKL;ASJL;1;chemical;Glutamate;
ASKL;AIAL;29;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASKL;AIBL;9;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASKL;AIML;5;chemical;Glutamate;
ASKR;ADLR;3;chemical;Glutamate;
ASKR;ASER;1;chemical;Glutamate;MGL-3
ASKR;ASGR;1;chemical;Glutamate;
ASKR;AWAR;2;chemical;Glutamate;
ASKR;CEPVR;2;chemical;Glutamate;
ASKR;AIAL;1;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASKR;AIAR;35;chemical;Glutamate;GLC-3, GLR-2, MGL-1
ASKR;AIBR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
ASKR;AIMR;5;chemical;Glutamate;
ASKR;ALA;1;chemical;Glutamate;
ASKR;RIFR;1;chemical;Glutamate;
ASKR;HSNL;1;chemical;Glutamate;GLR-5
AWCL;ASER;1;chemical;Glutamate;MGL-3
AWCL;ASGR;1;chemical;Glutamate;
AWCL;ASIL;1;chemical;Glutamate;
AWCL;AWCR;11;chemical;Glutamate;
AWCL;AFDL;2;chemical;Glutamate;
AWCL;AIAL;2;chemical;Glutamate;GLC-3, GLR-2, MGL-1
AWCL;AIAR;4;chemical;Glutamate;GLC-3, GLR-2, MGL-1
AWCL;AIBL;12;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AWCL;AIBR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AWCL;AIYL;22;chemical;Glutamate;GLC-3, MGL-1
AWCL;AIZL;1;chemical;Glutamate;
AWCL;RIAL;6;chemical;Glutamate;
AWCL;AVAL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AWCL;SMDVL;1;chemical;Glutamate;
AWCR;ADFR;1;chemical;Glutamate;MGL-3
AWCR;ASEL;8;chemical;Glutamate;MGL-3
AWCR;ASER;5;chemical;Glutamate;MGL-3
AWCR;ASGR;3;chemical;Glutamate;
AWCR;ASHR;1;chemical;Glutamate;
AWCR;ASIL;2;chemical;Glutamate;
AWCR;ASIR;2;chemical;Glutamate;
AWCR;AWCL;17;chemical;Glutamate;
AWCR;IL2L;2;chemical;Glutamate;
