Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
CEPVL;SMDVR;1;chemical;Dopamine;
CEPVR;ADLR;3;chemical;Dopamine;
CEPVR;ASGR;2;chemical;Dopamine;DOP-4
CEPVR;IL1VR;8;chemical;Dopamine;
CEPVR;IL2VR;3;chemical;Dopamine;
CEPVR;OLQVR;11;chemical;Dopamine;
CEPVR;OLLR;14;chemical;Dopamine;
CEPVR;CEPDR;1;chemical;Dopamine;DOP-2
CEPVR;URYVR;2;chemical;Dopamine;
CEPVR;RIAL;1;chemical;Dopamine;DOP-2
CEPVR;RIAR;1;chemical;Dopamine;DOP-2
CEPVR;RICL;13;chemical;Dopamine;DOP-3
CEPVR;RICR;12;chemical;Dopamine;DOP-3
CEPVR;AVEL;13;chemical;Dopamine;
CEPVR;RMDDR;4;chemical;Dopamine;
CEPVR;RMHR;15;chemical;Dopamine;
CEPVR;RIVL;2;chemical;Dopamine;
CEPVR;SIAVR;7;chemical;Dopamine;DOP-2, DOP-3
CEPVR;SMDDR;2;chemical;Dopamine;
ALML;CEPDL;2;chemical;Glutamate;
ALML;CEPVL;3;chemical;Glutamate;
ALML;ALML;1;chemical;Glutamate;GLR-8
ALML;BDUL;15;chemical;Glutamate;GLR-8
ALML;SDQL;2;chemical;Glutamate;
ALML;AIML;1;chemical;Glutamate;
ALML;RICL;2;chemical;Glutamate;
ALML;RICR;3;chemical;Glutamate;
ALML;RIFL;2;chemical;Glutamate;
ALML;RMGL;3;chemical;Glutamate;
ALML;PVCL;11;chemical;Glutamate;
ALML;PVCR;4;chemical;Glutamate;
ALML;AVDR;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ALML;AVEL;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ALML;RMDDR;1;chemical;Glutamate;GLR-1
ALML;SMBDR;2;chemical;Glutamate;
ALMR;CEPDR;1;chemical;Glutamate;
ALMR;CEPVR;3;chemical;Glutamate;
ALMR;BDUR;14;chemical;Glutamate;GLR-8
ALMR;PVCR;10;chemical;Glutamate;
ALMR;RMDDL;1;chemical;Glutamate;GLR-1
ALMR;SIADL;1;chemical;Glutamate;
ALMR;SMDDL;1;chemical;Glutamate;
AVM;BDUL;3;chemical;Glutamate;GLR-8
AVM;BDUR;5;chemical;Glutamate;GLR-8
AVM;ADER;4;chemical;Glutamate;
AVM;AVHL;3;chemical;Glutamate;GLR-4
AVM;AVJR;1;chemical;Glutamate;GLR-1
AVM;AVKL;1;chemical;Glutamate;GLR-5
AVM;PVR;6;chemical;Glutamate;
AVM;RID;2;chemical;Glutamate;
AVM;PVCL;10;chemical;Glutamate;
AVM;PVCR;17;chemical;Glutamate;
AVM;AVBL;13;chemical;Glutamate;GLR-1, GLR-5
AVM;AVBR;9;chemical;Glutamate;GLR-1, GLR-5
AVM;AVDL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AVM;AVDR;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AVM;SIBVL;4;chemical;Glutamate;
ALNL;RIAL;1;chemical;Acetylcholine;
ALNL;RMGL;1;chemical;Acetylcholine;
ALNL;RMDDR;1;chemical;Acetylcholine;
ALNL;RMHL;1;chemical;Acetylcholine;
ALNL;SIADR;1;chemical;Acetylcholine;
ALNL;SMBDR;7;chemical;Acetylcholine;
ALNL;SMDVL;1;chemical;Acetylcholine;
ALNR;IL2DR;7;chemical;Acetylcholine;
ALNR;ADER;1;chemical;Acetylcholine;ACR-16
ALNR;AVAL;6;chemical;Acetylcholine;
ALNR;RIML;5;chemical;Acetylcholine;
ALNR;SMBDL;4;chemical;Acetylcholine;
ALNR;SMDDR;1;chemical;Acetylcholine;
ALNR;SMDVL;2;chemical;Acetylcholine;
PLNL;RMDVL;1;chemical;Acetylcholine;
PLNL;SAADR;8;chemical;Acetylcholine;
PLNL;SIAVL;10;chemical;Acetylcholine;
PLNL;SMDVR;2;chemical;Acetylcholine;
PLNR;SAADL;5;chemical;Acetylcholine;
PLNR;SIAVR;10;chemical;Acetylcholine;
PLNR;SMDVL;2;chemical;Acetylcholine;
FLPL;FLPR;2;chemical;Glutamate;GLR-4
FLPL;ADEL;22;chemical;Glutamate;
FLPL;ADER;3;chemical;Glutamate;
FLPL;AIBL;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
FLPL;AIBR;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
FLPL;RIS;1;chemical;Glutamate;GLR-1
FLPL;DVA;1;chemical;Glutamate;GLR-4, GLR-5, NMR-1
FLPL;PVCR;6;chemical;Glutamate;
FLPL;AVAL;33;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
FLPL;AVAR;48;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
FLPL;AVBL;22;chemical;Glutamate;GLR-1, GLR-5
FLPL;AVBR;22;chemical;Glutamate;GLR-1, GLR-5
FLPL;AVDL;30;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
FLPL;AVDR;34;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
FLPR;FLPL;14;chemical;Glutamate;GLR-4
FLPR;ADER;6;chemical;Glutamate;
FLPR;AVJL;2;chemical;Glutamate;GLR-1
FLPR;AVJR;2;chemical;Glutamate;GLR-1
FLPR;DVA;6;chemical;Glutamate;GLR-4, GLR-5, NMR-1
FLPR;PVCL;2;chemical;Glutamate;
FLPR;AVAL;23;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
FLPR;AVAR;10;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
FLPR;AVBL;30;chemical;Glutamate;GLR-1, GLR-5
FLPR;AVBR;11;chemical;Glutamate;GLR-1, GLR-5
FLPR;AVDL;25;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
FLPR;AVDR;8;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
FLPR;AVEL;21;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
FLPR;AVER;7;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
SDQL;ALML;1;chemical;Acetylcholine;
SDQL;FLPL;2;chemical;Acetylcholine;
SDQL;AIBR;2;chemical;Acetylcholine;
SDQL;RICR;3;chemical;Acetylcholine;
SDQL;RMFL;3;chemical;Acetylcholine;
SDQL;RIS;8;chemical;Acetylcholine;
SDQL;DVA;1;chemical;Acetylcholine;
SDQL;PVCL;1;chemical;Acetylcholine;
SDQL;AVAL;6;chemical;Acetylcholine;
SDQL;AVAR;8;chemical;Acetylcholine;
SDQL;AVBL;1;chemical;Acetylcholine;
SDQL;AVBR;2;chemical;Acetylcholine;
SDQL;AVDL;3;chemical;Acetylcholine;
SDQL;AVEL;1;chemical;Acetylcholine;
SDQL;SAADR;2;chemical;Acetylcholine;
SDQL;SIADR;2;chemical;Acetylcholine;
SDQL;SIBVL;1;chemical;Acetylcholine;
SDQL;SMBDR;11;chemical;Acetylcholine;
SDQR;ADLL;1;chemical;Acetylcholine;
SDQR;ALML;1;chemical;Acetylcholine;
SDQR;SDQL;4;chemical;Acetylcholine;
SDQR;AIBL;8;chemical;Acetylcholine;
SDQR;RICR;3;chemical;Acetylcholine;
SDQR;DVA;10;chemical;Acetylcholine;
SDQR;AVAL;8;chemical;Acetylcholine;
SDQR;AVBL;23;chemical;Acetylcholine;
SDQR;AVBR;19;chemical;Acetylcholine;
SDQR;RMHL;15;chemical;Acetylcholine;
SDQR;RMHR;7;chemical;Acetylcholine;
SDQR;SIADL;2;chemical;Acetylcholine;
SDQR;SIBDR;1;chemical;Acetylcholine;
PVDL;PVDR;10;chemical;Glutamate;GLR-4
PVDL;AVFL;1;chemical;Glutamate;
PVDL;AVG;8;chemical;Glutamate;GLR-1, GLR-2, NMR-1, NMR-2
PVDL;PVPL;1;chemical;Glutamate;
PVDL;PVCL;13;chemical;Glutamate;
PVDL;PVCR;36;chemical;Glutamate;
PVDL;AVAL;13;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PVDL;AVAR;29;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PVDL;AVDL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PVDL;AVDR;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PVDL;VD10;3;chemical;Glutamate;
PVDR;PVDL;2;chemical;Glutamate;GLR-4
PVDR;DVA;5;chemical;Glutamate;GLR-4, GLR-5, NMR-1
PVDR;PVCL;29;chemical;Glutamate;
PVDR;PVCR;29;chemical;Glutamate;
PVDR;AVAL;9;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PVDR;AVAR;30;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PVDR;AVDL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PVDR;VA12;3;chemical;Glutamate;
BAGL;ADFR;1;chemical;Glutamate;MGL-3
BAGL;CEPVR;2;chemical;Glutamate;
BAGL;BAGR;1;chemical;Glutamate;
BAGL;URXR;1;chemical;Glutamate;
BAGL;AUAR;2;chemical;Glutamate;GLR-4
BAGL;AIBL;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
BAGL;AIZR;2;chemical;Glutamate;
BAGL;RIAR;18;chemical;Glutamate;
BAGL;RIBR;19;chemical;Glutamate;
BAGL;RIGL;3;chemical;Glutamate;
BAGL;RIGR;7;chemical;Glutamate;
BAGL;RID;3;chemical;Glutamate;
BAGL;AVAR;3;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
BAGL;AVEL;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
BAGL;AVER;7;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
BAGL;RIVR;2;chemical;Glutamate;
BAGR;OLQVL;2;chemical;Glutamate;
BAGR;BAGL;3;chemical;Glutamate;
BAGR;AQR;3;chemical;Glutamate;
BAGR;AIYL;3;chemical;Glutamate;GLC-3, MGL-1
BAGR;RIAL;18;chemical;Glutamate;
BAGR;RIBL;22;chemical;Glutamate;
BAGR;RIBR;1;chemical;Glutamate;
BAGR;RIGL;10;chemical;Glutamate;
BAGR;AVAL;4;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
BAGR;AVEL;8;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
BAGR;SMDVL;1;chemical;Glutamate;
URYDL;IL1DL;3;chemical;Glutamate;
URYDL;OLQDL;2;chemical;Glutamate;
URYDL;OLLL;3;chemical;Glutamate;
URYDL;AIZL;1;chemical;Glutamate;
URYDL;RIBL;8;chemical;Glutamate;
URYDL;AVEL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYDL;AVER;9;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYDL;RMDDR;15;chemical;Glutamate;GLR-1
URYDL;RMDVL;18;chemical;Glutamate;GLR-1
URYDL;SMDDL;2;chemical;Glutamate;
URYDL;SMDDR;3;chemical;Glutamate;
URYDR;AWCL;1;chemical;Glutamate;
URYDR;IL1DR;5;chemical;Glutamate;
URYDR;OLQDR;1;chemical;Glutamate;
URYDR;CEPDR;3;chemical;Glutamate;
URYDR;URXR;1;chemical;Glutamate;
URYDR;RIBR;1;chemical;Glutamate;
URYDR;AVBL;1;chemical;Glutamate;GLR-1, GLR-5
URYDR;AVEL;5;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYDR;AVER;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYDR;RMDDL;9;chemical;Glutamate;GLR-1
URYDR;RMDVR;12;chemical;Glutamate;GLR-1
URYDR;RMED;7;chemical;Glutamate;AVR-15, GLR-1
URYDR;SMDDL;11;chemical;Glutamate;
URYDR;SMDVR;3;chemical;Glutamate;
URYVL;IL1VL;1;chemical;Glutamate;
URYVL;OLQVL;9;chemical;Glutamate;
URYVL;OLLL;9;chemical;Glutamate;
URYVL;OLLR;5;chemical;Glutamate;
URYVL;CEPVL;3;chemical;Glutamate;
URYVL;URXL;2;chemical;Glutamate;
URYVL;RIAL;2;chemical;Glutamate;
URYVL;RIBL;9;chemical;Glutamate;
URYVL;RIBR;3;chemical;Glutamate;
URYVL;RIS;1;chemical;Glutamate;GLR-1
URYVL;AVJR;1;chemical;Glutamate;GLR-1
URYVL;RID;4;chemical;Glutamate;
URYVL;AVBR;1;chemical;Glutamate;GLR-1, GLR-5
URYVL;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYVL;AVEL;8;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYVL;AVER;23;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYVL;RMDDL;23;chemical;Glutamate;GLR-1
URYVL;RMDVR;17;chemical;Glutamate;GLR-1
URYVL;SIBVL;1;chemical;Glutamate;
URYVL;SIBVR;4;chemical;Glutamate;
URYVL;SMDVR;13;chemical;Glutamate;
URYVR;IL1VR;3;chemical;Glutamate;
URYVR;CEPVR;1;chemical;Glutamate;
URYVR;RIAR;2;chemical;Glutamate;
URYVR;RIBR;19;chemical;Glutamate;
URYVR;AVL;5;chemical;Glutamate;
URYVR;AVAL;2;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
URYVR;AVBL;5;chemical;Glutamate;GLR-1, GLR-5
URYVR;AVEL;26;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
URYVR;RMDDR;32;chemical;Glutamate;GLR-1
URYVR;RMDL;2;chemical;Glutamate;GLR-1
URYVR;RMDVL;19;chemical;Glutamate;GLR-1
URYVR;SIBVL;5;chemical;Glutamate;
URYVR;SIBVR;4;chemical;Glutamate;
URYVR;SMBDR;1;chemical;Glutamate;
URYVR;SMDVL;11;chemical;Glutamate;
AQR;BAGL;8;chemical;Glutamate;
AQR;BAGR;5;chemical;Glutamate;
AQR;URXL;5;chemical;Glutamate;
AQR;RIAL;8;chemical;Glutamate;
AQR;RIAR;4;chemical;Glutamate;
AQR;RIGL;1;chemical;Glutamate;
AQR;AVJL;3;chemical;Glutamate;GLR-1
AQR;DVA;6;chemical;Glutamate;GLR-4, GLR-5, NMR-1
AQR;PVPL;3;chemical;Glutamate;
AQR;PVPR;1;chemical;Glutamate;
AQR;PVCL;1;chemical;Glutamate;
AQR;PVCR;4;chemical;Glutamate;
AQR;AVAL;4;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AQR;AVAR;6;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AQR;AVBL;7;chemical;Glutamate;GLR-1, GLR-5
AQR;AVBR;12;chemical;Glutamate;GLR-1, GLR-5
AQR;AVDL;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AQR;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PQR;PHBL;2;chemical;Glutamate;
PQR;AVG;1;chemical;Glutamate;GLR-1, GLR-2, NMR-1, NMR-2
PQR;AVHL;1;chemical;Glutamate;GLR-4
PQR;AVJR;1;chemical;Glutamate;GLR-1
PQR;PVPR;1;chemical;Glutamate;
PQR;PVCL;1;chemical;Glutamate;
PQR;PVCR;1;chemical;Glutamate;
PQR;AVAL;23;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PQR;AVAR;26;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PQR;AVDL;15;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PQR;AVDR;20;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PQR;LUAR;3;chemical;Glutamate;GLR-5
AUAL;ADFL;1;chemical;Glutamate;MGL-3
AUAL;BAGR;3;chemical;Glutamate;
AUAL;URXL;1;chemical;Glutamate;
AUAL;AIBR;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AUAL;AIYL;1;chemical;Glutamate;GLC-3, MGL-1
AUAL;AIZL;2;chemical;Glutamate;
AUAL;RIAL;21;chemical;Glutamate;
AUAL;RIBL;35;chemical;Glutamate;
AUAL;DVA;2;chemical;Glutamate;GLR-4, GLR-5, NMR-1
AUAL;AVAL;11;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AUAL;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AUAL;AVEL;9;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AUAR;BAGL;1;chemical;Glutamate;
AUAR;URXR;5;chemical;Glutamate;
AUAR;AIYR;1;chemical;Glutamate;GLC-3, MGL-1
AUAR;AIZR;2;chemical;Glutamate;
AUAR;RIAR;22;chemical;Glutamate;
AUAR;RIBR;31;chemical;Glutamate;
AUAR;AVAR;3;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AUAR;AVER;13;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
ADEL;IL1L;3;chemical;Dopamine;
ADEL;IL2L;5;chemical;Dopamine;
ADEL;OLLL;6;chemical;Dopamine;
ADEL;CEPDL;1;chemical;Dopamine;DOP-2
ADEL;ALML;1;chemical;Dopamine;DOP-1
ADEL;FLPL;4;chemical;Dopamine;
ADEL;BDUL;1;chemical;Dopamine;
ADEL;ADER;5;chemical;Dopamine;DOP-2
ADEL;RIAL;2;chemical;Dopamine;DOP-2
ADEL;RIFL;1;chemical;Dopamine;
ADEL;RIGL;18;chemical;Dopamine;
ADEL;RIGR;15;chemical;Dopamine;
ADEL;RMGL;7;chemical;Dopamine;
ADEL;AVHL;2;chemical;Dopamine;
ADEL;AVL;1;chemical;Dopamine;DOP-4
ADEL;AVAL;7;chemical;Dopamine;
ADEL;AVAR;9;chemical;Dopamine;
ADEL;AVDL;2;chemical;Dopamine;
ADEL;AVEL;3;chemical;Dopamine;
ADEL;RMDL;11;chemical;Dopamine;
ADEL;RMER;1;chemical;Dopamine;
ADEL;RMHL;1;chemical;Dopamine;
ADEL;RMHR;2;chemical;Dopamine;
ADEL;RIVL;2;chemical;Dopamine;
ADEL;RIVR;2;chemical;Dopamine;
ADEL;SAADR;1;chemical;Dopamine;
ADEL;SIADR;2;chemical;Dopamine;DOP-2, DOP-3
ADEL;SIBVR;2;chemical;Dopamine;DOP-2
ADEL;SMBDR;1;chemical;Dopamine;
ADER;ASIR;1;chemical;Dopamine;
ADER;IL1R;1;chemical;Dopamine;
ADER;IL2R;1;chemical;Dopamine;
ADER;OLLR;3;chemical;Dopamine;
ADER;CEPDR;5;chemical;Dopamine;DOP-2
ADER;CEPVR;1;chemical;Dopamine;DOP-2
ADER;ALNR;1;chemical;Dopamine;DOP-1
ADER;FLPL;1;chemical;Dopamine;
ADER;FLPR;4;chemical;Dopamine;
ADER;URXR;2;chemical;Dopamine;
ADER;ADEL;3;chemical;Dopamine;DOP-2
ADER;RIAR;1;chemical;Dopamine;DOP-2
ADER;RIGL;12;chemical;Dopamine;
ADER;RIGR;11;chemical;Dopamine;
ADER;RMGR;5;chemical;Dopamine;
ADER;AVJR;1;chemical;Dopamine;
ADER;AVAL;9;chemical;Dopamine;
ADER;AVAR;4;chemical;Dopamine;
ADER;AVDR;5;chemical;Dopamine;
ADER;AVER;4;chemical;Dopamine;
ADER;RMDL;1;chemical;Dopamine;
ADER;RMDR;6;chemical;Dopamine;
ADER;SMDVR;1;chemical;Dopamine;
PDEL;DVA;1;chemical;Dopamine;
PDER;PDEL;5;chemical;Dopamine;DOP-2
PDER;DVA;7;chemical;Dopamine;
PDER;PVR;2;chemical;Dopamine;
PHAL;PHAR;13;chemical;Glutamate;
PHAL;PHBL;7;chemical;Glutamate;
PHAL;PHBR;10;chemical;Glutamate;
PHAL;AVFL;4;chemical;Glutamate;
PHAL;AVG;11;chemical;Glutamate;GLR-1, GLR-2, NMR-1, NMR-2
PHAL;AVHL;4;chemical;Glutamate;GLR-4
PHAL;AVHR;1;chemical;Glutamate;GLR-4
PHAL;DVA;2;chemical;Glutamate;GLR-4, GLR-5, NMR-1
PHAL;PVQL;3;chemical;Glutamate;GLR-1, GLR-5
PHAL;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHAR;PHAL;11;chemical;Glutamate;
PHAR;PHBL;3;chemical;Glutamate;
PHAR;PHBR;8;chemical;Glutamate;
PHAR;AVG;9;chemical;Glutamate;GLR-1, GLR-2, NMR-1, NMR-2
PHAR;AVHR;1;chemical;Glutamate;GLR-4
PHAR;DVA;6;chemical;Glutamate;GLR-4, GLR-5, NMR-1
PHAR;PVPL;3;chemical;Glutamate;
PHAR;PVQL;4;chemical;Glutamate;GLR-1, GLR-5
PHAR;PVQR;1;chemical;Glutamate;GLR-1, GLR-5
PHAR;PVT;2;chemical;Glutamate;
PHAR;AVDR;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHBL;PHBR;4;chemical;Glutamate, Serotonin;SER-3
PHBL;AVG;1;chemical;Glutamate, Serotonin;GLR-1, GLR-2, NMR-1, NMR-2
PHBL;PVCL;71;chemical;Glutamate, Serotonin;SER-2
PHBL;AVAL;48;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PHBL;AVAR;33;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PHBL;AVDL;6;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHBL;AVDR;1;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHBL;AS11;1;chemical;Glutamate, Serotonin;
PHBL;VA12;5;chemical;Glutamate, Serotonin;
PHBR;PHBL;3;chemical;Glutamate, Serotonin;SER-3
PHBR;PHCR;3;chemical;Glutamate, Serotonin;
PHBR;PVCL;39;chemical;Glutamate, Serotonin;SER-2
PHBR;PVCR;21;chemical;Glutamate, Serotonin;SER-2
PHBR;AVAL;35;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PHBR;AVAR;38;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PHBR;AVDL;7;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHBR;AVDR;5;chemical;Glutamate, Serotonin;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
PHBR;VA12;1;chemical;Glutamate, Serotonin;
PHCL;PHCR;2;chemical;Glutamate;
PHCL;AVHR;1;chemical;Glutamate;GLR-4
PHCL;DVA;12;chemical;Glutamate;GLR-4, GLR-5, NMR-1
PHCL;PVQR;2;chemical;Glutamate;GLR-1, GLR-5
PHCL;PVCL;7;chemical;Glutamate;
PHCL;AVAL;5;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
PHCL;LUAL;2;chemical;Glutamate;GLR-5
PHCL;VA12;6;chemical;Glutamate;
PHCR;PHAR;2;chemical;Glutamate;
PHCR;PHCL;4;chemical;Glutamate;
PHCR;AVHR;2;chemical;Glutamate;GLR-4
PHCR;DVA;22;chemical;Glutamate;GLR-4, GLR-5, NMR-1
PHCR;PVQR;4;chemical;Glutamate;GLR-1, GLR-5
PHCR;PVCR;25;chemical;Glutamate;
PHCR;LUAR;6;chemical;Glutamate;GLR-5
PHCR;VA12;8;chemical;Glutamate;
AIAL;ADFL;2;chemical;Acetylcholine;
AIAL;ADLL;1;chemical;Acetylcholine;
AIAL;ASEL;5;chemical;Acetylcholine;
AIAL;ASER;10;chemical;Acetylcholine;
AIAL;ASGL;1;chemical;Acetylcholine;
AIAL;ASHL;1;chemical;Acetylcholine;
AIAL;ASJL;4;chemical;Acetylcholine;
AIAL;ASKL;9;chemical;Acetylcholine;
AIAL;AWCL;1;chemical;Acetylcholine;
AIAL;AWCR;6;chemical;Acetylcholine;
AIAL;AIBL;35;chemical;Acetylcholine;
AIAL;AIZL;4;chemical;Acetylcholine;
AIAL;AIML;6;chemical;Acetylcholine;
AIAL;RIFL;10;chemical;Acetylcholine;
AIAL;RMGL;2;chemical;Acetylcholine;
AIAL;PVQL;1;chemical;Acetylcholine;
AIAR;ADLR;10;chemical;Acetylcholine;
AIAR;ASER;5;chemical;Acetylcholine;
AIAR;ASGR;5;chemical;Acetylcholine;
AIAR;ASIR;2;chemical;Acetylcholine;
AIAR;AWAR;4;chemical;Acetylcholine;
AIAR;AWCL;6;chemical;Acetylcholine;
AIAR;AWCR;6;chemical;Acetylcholine;
AIAR;AIBR;33;chemical;Acetylcholine;
AIAR;AIZR;2;chemical;Acetylcholine;
AIAR;RIFR;10;chemical;Acetylcholine;
AIBL;ASHL;1;chemical;Glutamate;
AIBL;ASHR;3;chemical;Glutamate;
AIBL;IL2DR;1;chemical;Glutamate;
AIBL;FLPL;1;chemical;Glutamate;GLR-4
AIBL;AIBL;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AIBL;AIZR;7;chemical;Glutamate;
AIBL;RIBR;16;chemical;Glutamate;
AIBL;RIFL;1;chemical;Glutamate;
AIBL;RIGR;5;chemical;Glutamate;
AIBL;RMFR;6;chemical;Glutamate;
AIBL;AVAL;5;chemical;Glutamate;GLR-1, GLR-2, GLR-4, GLR-5, NMR-1, NMR-2
AIBL;AVBL;21;chemical;Glutamate;GLR-1, GLR-5
AIBL;AVEL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
AIBL;RIML;1;chemical;Glutamate;
AIBL;RIMR;56;chemical;Glutamate;
AIBL;SAADL;6;chemical;Glutamate;
AIBL;SAADR;10;chemical;Glutamate;
AIBL;SIADR;2;chemical;Glutamate;
AIBL;SIAVR;2;chemical;Glutamate;
AIBL;SIBDR;3;chemical;Glutamate;
AIBL;SMDDR;16;chemical;Glutamate;
AIBL;SMDVR;4;chemical;Glutamate;
AIYL;ASER;1;chemical;Acetylcholine;
AIYL;AWAL;14;chemical;Acetylcholine;
AIYL;AWCL;5;chemical;Acetylcholine;
AIYL;AWCR;3;chemical;Acetylcholine;
AIYL;AFDL;2;chemical;Acetylcholine;
AIYL;AIBL;3;chemical;Acetylcholine;
AIYL;AIZL;67;chemical;Acetylcholine;
AIYL;RIAL;51;chemical;Acetylcholine;
AIYL;RIBL;42;chemical;Acetylcholine;
AIYL;HSNR;1;chemical;Acetylcholine;GAR-2
AIYR;ADFR;1;chemical;Acetylcholine;
AIYR;ASEL;2;chemical;Acetylcholine;
AIYR;ASER;4;chemical;Acetylcholine;
AIYR;ASGR;2;chemical;Acetylcholine;
AIYR;AWAR;1;chemical;Acetylcholine;
AIYR;AWBR;1;chemical;Acetylcholine;
AIYR;AFDR;1;chemical;Acetylcholine;
AIYR;BAGR;1;chemical;Acetylcholine;
