0.000000e+00	0.000000e+00	0.000000e+00	
1.000000e-05	0.000000e+00	0.000000e+00	
2.000000e-05	2.646772e-14	2.646772e-14	
3.000000e-05	5.291480e-14	5.291480e-14	
4.000000e-05	7.933529e-14	7.933529e-14	
5.000000e-05	1.057239e-13	1.057239e-13	
6.000000e-05	1.320758e-13	1.320758e-13	
7.000000e-05	1.583868e-13	1.583868e-13	
8.000000e-05	1.846531e-13	1.846531e-13	
9.000000e-05	2.108712e-13	2.108712e-13	
1.000000e-04	2.370380e-13	2.370380e-13	
1.100000e-04	2.631509e-13	2.631509e-13	
1.200000e-04	2.892073e-13	2.892073e-13	
1.300000e-04	3.152052e-13	3.152052e-13	
1.400000e-04	3.411427e-13	3.411427e-13	
1.500000e-04	3.670178e-13	3.670178e-13	
1.600000e-04	3.928293e-13	3.928293e-13	
1.700000e-04	4.185757e-13	4.185757e-13	
1.800000e-04	4.442558e-13	4.442558e-13	
1.900000e-04	4.698686e-13	4.698686e-13	
2.000000e-04	4.954132e-13	4.954132e-13	
2.100000e-04	5.208887e-13	5.208887e-13	
2.200000e-04	5.462945e-13	5.462945e-13	
2.300000e-04	5.716299e-13	5.716299e-13	
2.400000e-04	5.968944e-13	5.968944e-13	
2.500000e-04	6.220876e-13	6.220876e-13	
2.600000e-04	6.472090e-13	6.472090e-13	
2.700000e-04	6.722584e-13	6.722584e-13	
2.800000e-04	6.972354e-13	6.972354e-13	
2.900000e-04	7.221399e-13	7.221399e-13	
3.000000e-04	7.469716e-13	7.469716e-13	
3.100000e-04	7.717305e-13	7.717305e-13	
3.200000e-04	7.964163e-13	7.964163e-13	
3.300000e-04	8.210291e-13	8.210291e-13	
3.400000e-04	8.455688e-13	8.455688e-13	
3.500000e-04	8.700353e-13	8.700353e-13	
3.600000e-04	8.944287e-13	8.944287e-13	
3.700000e-04	9.187489e-13	9.187489e-13	
3.800000e-04	9.429961e-13	9.429961e-13	
3.900000e-04	9.671703e-13	9.671703e-13	
4.000000e-04	9.912715e-13	9.912715e-13	
4.100000e-04	1.015300e-12	1.015300e-12	
4.200000e-04	1.039255e-12	1.039255e-12	
4.300000e-04	1.063138e-12	1.063138e-12	
4.400000e-04	1.086949e-12	1.086949e-12	
4.500000e-04	1.110687e-12	1.110687e-12	
4.600000e-04	1.134352e-12	1.134352e-12	
4.700000e-04	1.157946e-12	1.157946e-12	
4.800000e-04	1.181467e-12	1.181467e-12	
4.900000e-04	1.204917e-12	1.204917e-12	
5.000000e-04	1.228295e-12	1.228295e-12	
5.100000e-04	1.251601e-12	1.251601e-12	
5.200000e-04	1.274836e-12	1.274836e-12	
5.300000e-04	1.298000e-12	1.298000e-12	
5.400000e-04	1.321092e-12	1.321092e-12	
5.500000e-04	1.344114e-12	1.344114e-12	
5.600000e-04	1.367065e-12	1.367065e-12	
5.700000e-04	1.389945e-12	1.389945e-12	
5.800000e-04	1.412755e-12	1.412755e-12	
